Prop Firm Ranking / Comparison List,,,Robert Trades Futures ,,Robert Trades Futures - YouTube,,,,,,,,,,,,,,,,,,,,,,,
,,,Discord,,https://discord.gg/tdtc,,,,,,,,,,,,,,,,,,,,,,,
,Green = Top Ranked,,Report a PropFirm (Google Forms):,,Click Here To Report A Rule Change Or Prop Problem,,,,,,,,,,,,,,,,,,,,,,,
,Blue = Community Trusted,,Free Funded Futures Masterclass,,Click Here For Instant Access,,,,,,,,,,,,,,,,,,,,,,,
,Yellow = New/Building Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red = Avoid/Possible Scam,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Discount: D,,,,,,,,,,,,,Consistency,,,,,,,,
Firm Name,Discount Code,Overall Score,Platforms,Account Category,50k All In,50k Initial Cost,Without D $,D $,D %,Activation Fee,Max # of Accts,Profit Split,Max Withdrawl,Profit Target,Drawdown & Amt,DLL,Buffer,Days To Pass,Days to Payout,Eval,PA,Reset Fee,DCA ,News,Bots,Copy Trade,VPN,MicroScalping
Lucid Flex,RTF,4.8,"NinjaTrader, Tradovate, TradingView, MotiveWave, Quantower, Sierra Chart, Jigsaw, Bookmap, ATAS, R|Trader Pro, Multicharts",Eval (Test),$84.00,$84.00,$140,$56,40%,0$,"5 Funded, Unlimited Evals",90/10,"(1-6) $2,000","$4,000 for max withdrawl, $1,000 for min","EOD, $2,000",None,None,2,5 min of $150,50%,0%,$76,Yes,Yes,Yes,Yes,No,No
Lucid Pro,,,,,$111.00,$111.00,$185,$74,,,,,"(1) $1,500 (2-4) up to $3,000 (w/bouns)","$3,000",,"$1,200",,2,3,60%,40%,$120,,,,,,
Lucid Direct,,,,Straight to Funded (S2F),$364.00,$364.00,$520,$156,30%,,,,"(1-3) $2,000 (4-6) $2,500","$3,000 (first), $2,500 after",,"$1,200 until $52,100 then 60% of highest day profit after",,N/A,8,N/A,20%,N/A,,,,,,
YRM Prop - Starter Challenge (50K),RTF,4.8,"DX Feed,Volumetrica, Quantower, ATAS",Eval (Test),$74,$74,$149,$75,51%,$0,"Unlimited Challenge, 3 Prime / Instant Prime",90/10,"1st-$1,500, 2nd-$2,000, 3rd-$2,500, 4th-$2,750","$3,000","EOD, $2000",None,$100,2,6,50%,35%,N/A,Yes,Yes,No,Yes,Yes,No
